department,regimen,eps,age_group,total,share,mode
VALLE DEL CAUCA,CONTRIBUTIVO,ASMETSALUD EPS,De 80 años o más,45,0.004403992953611274,within_eps
VALLE DEL CAUCA,SUBSIDIADO,ASMETSALUD EPS,De 0 a 4 años,7956,0.056098885214460485,within_eps
VALLE DEL CAUCA,SUBSIDIADO,ASMETSALUD EPS,De 05 a 09 años,11339,0.07995289837189133,within_eps
VALLE DEL CAUCA,SUBSIDIADO,ASMETSALUD EPS,De 10 a 14 años,13503,0.09521156951368275,within_eps
VALLE DEL CAUCA,SUBSIDIADO,ASMETSALUD EPS,De 15 a 19 años,14515,0.10234732514930793,within_eps
VALLE DEL CAUCA,SUBSIDIADO,ASMETSALUD EPS,De 20 a 24 años,12454,0.08781492162655742,within_eps
VALLE DEL CAUCA,SUBSIDIADO,ASMETSALUD EPS,De 25 a 29 años,11495,0.08105287651335134,within_eps
VALLE DEL CAUCA,SUBSIDIADO,ASMETSALUD EPS,De 30 a 34 años,10947,0.07718885073437644,within_eps
VALLE DEL CAUCA,SUBSIDIADO,ASMETSALUD EPS,De 35 a 39 años,9443,0.06658393326799275,within_eps
VALLE DEL CAUCA,SUBSIDIADO,ASMETSALUD EPS,De 40 a 44 años,8126,0.057297579342974594,within_eps
VALLE DEL CAUCA,SUBSIDIADO,ASMETSALUD EPS,De 45 a 49 años,7891,0.055640560988852145,within_eps
VALLE DEL CAUCA,SUBSIDIADO,ASMETSALUD EPS,De 50 a 54 años,7397,0.05215729687422878,within_eps
VALLE DEL CAUCA,SUBSIDIADO,ASMETSALUD EPS,De 55 a 59 años,6338,0.0446901375677791,within_eps
VALLE DEL CAUCA,SUBSIDIADO,ASMETSALUD EPS,De 60 a 64 años,5921,0.04174981138195331,within_eps
VALLE DEL CAUCA,SUBSIDIADO,ASMETSALUD EPS,De 65 a 69 años,4778,0.03369035615317901,within_eps
VALLE DEL CAUCA,SUBSIDIADO,ASMETSALUD EPS,De 70 a 74 años,3662,0.025821281756580477,within_eps
VALLE DEL CAUCA,SUBSIDIADO,ASMETSALUD EPS,De 75 a 79 años,2548,0.01796630964384682,within_eps
VALLE DEL CAUCA,SUBSIDIADO,ASMETSALUD EPS,De 80 años o más,3508,0.02473540589898534,within_eps
VALLE DEL CAUCA,SUBSIDIADO,CAJACOPI EPS,De 15 a 19 años,1,1.0,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,COMFENALCO VALLE EPS,De 0 a 4 años,6415,0.029139223256870316,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,COMFENALCO VALLE EPS,De 05 a 09 años,9893,0.044937542584601406,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,COMFENALCO VALLE EPS,De 10 a 14 años,12483,0.05670224846695435,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,COMFENALCO VALLE EPS,De 15 a 19 años,14317,0.06503293209175562,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,COMFENALCO VALLE EPS,De 20 a 24 años,15052,0.06837156484215308,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,COMFENALCO VALLE EPS,De 25 a 29 años,13872,0.06301158301158301,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,COMFENALCO VALLE EPS,De 30 a 34 años,14824,0.06733590733590733,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,COMFENALCO VALLE EPS,De 35 a 39 años,15487,0.07034749034749034,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,COMFENALCO VALLE EPS,De 40 a 44 años,17373,0.07891437656143538,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,COMFENALCO VALLE EPS,De 45 a 49 años,17799,0.08084942084942084,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,COMFENALCO VALLE EPS,De 50 a 54 años,16374,0.07437656143538496,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,COMFENALCO VALLE EPS,De 55 a 59 años,16086,0.07306836248012719,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,COMFENALCO VALLE EPS,De 60 a 64 años,15168,0.06889847831024301,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,COMFENALCO VALLE EPS,De 65 a 69 años,12419,0.056411537588008175,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,COMFENALCO VALLE EPS,De 70 a 74 años,9522,0.04325232795821031,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,COMFENALCO VALLE EPS,De 75 a 79 años,6456,0.029325459913695208,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,COMFENALCO VALLE EPS,De 80 años o más,6610,0.030024982966159436,within_eps
VALLE DEL CAUCA,SUBSIDIADO,COMFENALCO VALLE EPS,De 0 a 4 años,2505,0.03903024259516056,within_eps
VALLE DEL CAUCA,SUBSIDIADO,COMFENALCO VALLE EPS,De 05 a 09 años,4188,0.06525295648244808,within_eps
VALLE DEL CAUCA,SUBSIDIADO,COMFENALCO VALLE EPS,De 10 a 14 años,4579,0.07134510213303003,within_eps
VALLE DEL CAUCA,SUBSIDIADO,COMFENALCO VALLE EPS,De 15 a 19 años,4955,0.07720353375609604,within_eps
VALLE DEL CAUCA,SUBSIDIADO,COMFENALCO VALLE EPS,De 20 a 24 años,5552,0.08650535205123011,within_eps
VALLE DEL CAUCA,SUBSIDIADO,COMFENALCO VALLE EPS,De 25 a 29 años,6427,0.10013867032299278,within_eps
VALLE DEL CAUCA,SUBSIDIADO,COMFENALCO VALLE EPS,De 30 a 34 años,5958,0.092831211729328,within_eps
VALLE DEL CAUCA,SUBSIDIADO,COMFENALCO VALLE EPS,De 35 a 39 años,5348,0.08332684127701345,within_eps
VALLE DEL CAUCA,SUBSIDIADO,COMFENALCO VALLE EPS,De 40 a 44 años,5364,0.0835761362396971,within_eps
VALLE DEL CAUCA,SUBSIDIADO,COMFENALCO VALLE EPS,De 45 a 49 años,4716,0.07347969025100887,within_eps
VALLE DEL CAUCA,SUBSIDIADO,COMFENALCO VALLE EPS,De 50 a 54 años,4053,0.0631495302348047,within_eps
VALLE DEL CAUCA,SUBSIDIADO,COMFENALCO VALLE EPS,De 55 a 59 años,3426,0.05338028388463876,within_eps
VALLE DEL CAUCA,SUBSIDIADO,COMFENALCO VALLE EPS,De 60 a 64 años,2632,0.04100902136146212,within_eps
VALLE DEL CAUCA,SUBSIDIADO,COMFENALCO VALLE EPS,De 65 a 69 años,1914,0.02982190991103286,within_eps
VALLE DEL CAUCA,SUBSIDIADO,COMFENALCO VALLE EPS,De 70 a 74 años,1174,0.01829201788691357,within_eps
VALLE DEL CAUCA,SUBSIDIADO,COMFENALCO VALLE EPS,De 75 a 79 años,642,0.010002960377681868,within_eps
VALLE DEL CAUCA,SUBSIDIADO,COMFENALCO VALLE EPS,De 80 años o más,748,0.011654539505461118,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,COOSALUD EPS,De 0 a 4 años,1762,0.03208595101520532,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,COOSALUD EPS,De 05 a 09 años,1905,0.03468997541655285,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,COOSALUD EPS,De 10 a 14 años,1721,0.031339342620413366,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,COOSALUD EPS,De 15 a 19 años,2789,0.05078758080670127,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,COOSALUD EPS,De 20 a 24 años,6540,0.11909314394974051,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,COOSALUD EPS,De 25 a 29 años,6336,0.11537831193662934,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,COOSALUD EPS,De 30 a 34 años,5394,0.09822452881726304,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,COOSALUD EPS,De 35 a 39 años,4617,0.08407538923791313,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,COOSALUD EPS,De 40 a 44 años,3872,0.07050896840571792,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,COOSALUD EPS,De 45 a 49 años,3496,0.06366202312665027,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,COOSALUD EPS,De 50 a 54 años,3255,0.05927342256214149,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,COOSALUD EPS,De 55 a 59 años,3191,0.0581079850678321,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,COOSALUD EPS,De 60 a 64 años,3034,0.055249021214604385,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,COOSALUD EPS,De 65 a 69 años,2598,0.04730947828462169,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,COOSALUD EPS,De 70 a 74 años,1812,0.032996449057634526,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,COOSALUD EPS,De 75 a 79 años,1167,0.021251024310297732,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,COOSALUD EPS,De 80 años o más,1426,0.025967404170081036,within_eps
VALLE DEL CAUCA,SUBSIDIADO,COOSALUD EPS,De 0 a 4 años,19682,0.04505869855863446,within_eps
VALLE DEL CAUCA,SUBSIDIADO,COOSALUD EPS,De 05 a 09 años,31225,0.071484496620941,within_eps
VALLE DEL CAUCA,SUBSIDIADO,COOSALUD EPS,De 10 a 14 años,31198,0.07142268456621674,within_eps
VALLE DEL CAUCA,SUBSIDIADO,COOSALUD EPS,De 15 a 19 años,32971,0.0754816761597773,within_eps
VALLE DEL CAUCA,SUBSIDIADO,COOSALUD EPS,De 20 a 24 años,30671,0.07021620483141335,within_eps
VALLE DEL CAUCA,SUBSIDIADO,COOSALUD EPS,De 25 a 29 años,32642,0.07472848482628523,within_eps
VALLE DEL CAUCA,SUBSIDIADO,COOSALUD EPS,De 30 a 34 años,31854,0.07292448856248054,within_eps
VALLE DEL CAUCA,SUBSIDIADO,COOSALUD EPS,De 35 a 39 años,31944,0.07313052874489478,within_eps
VALLE DEL CAUCA,SUBSIDIADO,COOSALUD EPS,De 40 a 44 años,27626,0.0632451786597315,within_eps
VALLE DEL CAUCA,SUBSIDIADO,COOSALUD EPS,De 45 a 49 años,26913,0.06161288254793868,within_eps
VALLE DEL CAUCA,SUBSIDIADO,COOSALUD EPS,De 50 a 54 años,27376,0.06267284481969194,within_eps
VALLE DEL CAUCA,SUBSIDIADO,COOSALUD EPS,De 55 a 59 años,28654,0.06559861540997418,within_eps
VALLE DEL CAUCA,SUBSIDIADO,COOSALUD EPS,De 60 a 64 años,24003,0.05495091664987821,within_eps
VALLE DEL CAUCA,SUBSIDIADO,COOSALUD EPS,De 65 a 69 años,19859,0.045463910917382465,within_eps
VALLE DEL CAUCA,SUBSIDIADO,COOSALUD EPS,De 70 a 74 años,14591,0.033403692240068866,within_eps
VALLE DEL CAUCA,SUBSIDIADO,COOSALUD EPS,De 75 a 79 años,9897,0.02265755205948609,within_eps
VALLE DEL CAUCA,SUBSIDIADO,COOSALUD EPS,De 80 años o más,15702,0.03594714382520467,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EMSSANAR EPS,De 0 a 4 años,1287,0.02097902097902098,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EMSSANAR EPS,De 05 a 09 años,1391,0.02267429540156813,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EMSSANAR EPS,De 10 a 14 años,1314,0.021419140300259182,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EMSSANAR EPS,De 15 a 19 años,3340,0.054444390108725774,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EMSSANAR EPS,De 20 a 24 años,9883,0.16109997228878348,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EMSSANAR EPS,De 25 a 29 años,9463,0.15425367173618923,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EMSSANAR EPS,De 30 a 34 años,8260,0.1346439108676871,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EMSSANAR EPS,De 35 a 39 años,5735,0.09348460397411447,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EMSSANAR EPS,De 40 a 44 años,4719,0.07692307692307693,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EMSSANAR EPS,De 45 a 49 años,3750,0.06112768350530588,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EMSSANAR EPS,De 50 a 54 años,3011,0.04908145467586027,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EMSSANAR EPS,De 55 a 59 años,2634,0.042936084894126855,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EMSSANAR EPS,De 60 a 64 años,2568,0.04186023766443347,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EMSSANAR EPS,De 65 a 69 años,2132,0.03475312566221657,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EMSSANAR EPS,De 70 a 74 años,1102,0.01796338859275922,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EMSSANAR EPS,De 75 a 79 años,398,0.006487684809363131,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EMSSANAR EPS,De 80 años o más,360,0.005868257616509364,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EMSSANAR EPS,De 0 a 4 años,28320,0.03776538786200165,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EMSSANAR EPS,De 05 a 09 años,45545,0.06073533157397122,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EMSSANAR EPS,De 10 a 14 años,55795,0.07440394829662365,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EMSSANAR EPS,De 15 a 19 años,60414,0.08056349372510478,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EMSSANAR EPS,De 20 a 24 años,47968,0.06396645921484799,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EMSSANAR EPS,De 25 a 29 años,50924,0.06790835492530267,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EMSSANAR EPS,De 30 a 34 años,55604,0.07414924529232837,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EMSSANAR EPS,De 35 a 39 años,48395,0.06453587378465994,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EMSSANAR EPS,De 40 a 44 años,52020,0.06936989677193946,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EMSSANAR EPS,De 45 a 49 años,49614,0.06616143903196856,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EMSSANAR EPS,De 50 a 54 años,47283,0.06305299556069999,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EMSSANAR EPS,De 55 a 59 años,47388,0.06319301553688327,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EMSSANAR EPS,De 60 a 64 años,47994,0.06400113082799813,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EMSSANAR EPS,De 65 a 69 años,38578,0.05144467277331566,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EMSSANAR EPS,De 70 a 74 años,29238,0.03898956251091822,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EMSSANAR EPS,De 75 a 79 años,19093,0.02546096576444906,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EMSSANAR EPS,De 80 años o más,25720,0.03429822654698737,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS FAMILIAR DE COLOMBIA,De 20 a 24 años,3,0.6,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS FAMILIAR DE COLOMBIA,De 45 a 49 años,1,0.2,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS FAMILIAR DE COLOMBIA,De 50 a 54 años,1,0.2,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EPS FAMILIAR DE COLOMBIA,De 20 a 24 años,1,1.0,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SANITAS,De 0 a 4 años,15474,0.037358673687412636,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SANITAS,De 05 a 09 años,20119,0.04857303579663014,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SANITAS,De 10 a 14 años,23392,0.05647499643892699,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SANITAS,De 15 a 19 años,23757,0.057356211114893495,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SANITAS,De 20 a 24 años,25919,0.06257589914075533,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SANITAS,De 25 a 29 años,32141,0.07759759150750481,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SANITAS,De 30 a 34 años,38934,0.09399784162761558,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SANITAS,De 35 a 39 años,36474,0.08805869614027972,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SANITAS,De 40 a 44 años,34451,0.08317459397732019,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SANITAS,De 45 a 49 años,30947,0.0747149330880418,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SANITAS,De 50 a 54 años,26119,0.06305875649744931,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SANITAS,De 55 a 59 años,25650,0.06192645599600194,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SANITAS,De 60 a 64 años,24415,0.05894481181841666,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SANITAS,De 65 a 69 años,19616,0.0473586495445448,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SANITAS,De 70 a 74 años,14250,0.034403586664445526,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SANITAS,De 75 a 79 años,9809,0.023681739059055868,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SANITAS,De 80 años o más,12734,0.03074352790070521,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EPS SANITAS,De 0 a 4 años,2522,0.03819244631553442,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EPS SANITAS,De 05 a 09 años,4497,0.06810128115819124,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EPS SANITAS,De 10 a 14 años,5954,0.09016567222945755,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EPS SANITAS,De 15 a 19 años,5400,0.08177605475966926,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EPS SANITAS,De 20 a 24 años,5814,0.0880455522912439,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EPS SANITAS,De 25 a 29 años,7633,0.11559196777417693,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EPS SANITAS,De 30 a 34 años,6980,0.10570312263379471,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EPS SANITAS,De 35 a 39 años,5624,0.0851682466608111,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EPS SANITAS,De 40 a 44 años,4650,0.07041826937638186,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EPS SANITAS,De 45 a 49 años,3856,0.058394160583941604,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EPS SANITAS,De 50 a 54 años,3292,0.04985310597570948,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EPS SANITAS,De 55 a 59 años,2910,0.0440682072871551,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EPS SANITAS,De 60 a 64 años,2357,0.03569373353121119,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EPS SANITAS,De 65 a 69 años,1664,0.02519913983705364,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EPS SANITAS,De 70 a 74 años,1185,0.017945300905594087,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EPS SANITAS,De 75 a 79 años,755,0.011433503952509314,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EPS SANITAS,De 80 años o más,941,0.014250234727564587,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SOS,De 0 a 4 años,13834,0.03161905371399316,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SOS,De 05 a 09 años,21717,0.04963647459207672,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SOS,De 10 a 14 años,26840,0.06134562683848318,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SOS,De 15 a 19 años,31075,0.07102516222078484,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SOS,De 20 a 24 años,33779,0.07720543699616704,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SOS,De 25 a 29 años,26285,0.06007711629841768,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SOS,De 30 a 34 años,31904,0.07291992841486465,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SOS,De 35 a 39 años,35115,0.08025900471063104,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SOS,De 40 a 44 años,37435,0.08556160732856251,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SOS,De 45 a 49 años,34828,0.07960303619711968,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SOS,De 50 a 54 años,30651,0.07005606588026632,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SOS,De 55 a 59 años,29847,0.06821843980060385,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SOS,De 60 a 64 años,27535,0.06293412201928593,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SOS,De 65 a 69 años,21653,0.04949019589916827,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SOS,De 70 a 74 años,15611,0.03568057304677947,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SOS,De 75 a 79 años,9797,0.02239206803787704,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SOS,De 80 años o más,9615,0.021976088004918622,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EPS SOS,De 0 a 4 años,5742,0.03773039392844236,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EPS SOS,De 05 a 09 años,9598,0.06306797647599961,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EPS SOS,De 10 a 14 años,11749,0.07720208956204619,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EPS SOS,De 15 a 19 años,12958,0.08514636790748102,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EPS SOS,De 20 a 24 años,10757,0.07068370732989454,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EPS SOS,De 25 a 29 años,15234,0.10010184972237737,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EPS SOS,De 30 a 34 años,15572,0.10232283076518711,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EPS SOS,De 35 a 39 años,14589,0.09586358708151263,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EPS SOS,De 40 a 44 años,13511,0.08878010316391234,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EPS SOS,De 45 a 49 años,11374,0.07473798337549693,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EPS SOS,De 50 a 54 años,9390,0.061701218911193616,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EPS SOS,De 55 a 59 años,7898,0.05189736176364294,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EPS SOS,De 60 a 64 años,5933,0.03898544534612478,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EPS SOS,De 65 a 69 años,3680,0.024181095377336793,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EPS SOS,De 70 a 74 años,2142,0.014074974537569406,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EPS SOS,De 75 a 79 años,1120,0.007359463810493807,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EPS SOS,De 80 años o más,938,0.006163550941288563,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SURA,De 0 a 4 años,19195,0.03922494211792209,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SURA,De 05 a 09 años,24314,0.04968560784866672,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SURA,De 10 a 14 años,26576,0.054308000089913905,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SURA,De 15 a 19 años,26897,0.05496396291460018,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SURA,De 20 a 24 años,31261,0.06388178773369953,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SURA,De 25 a 29 años,38397,0.07846418872111771,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SURA,De 30 a 34 años,47082,0.096211967949779,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SURA,De 35 a 39 años,44396,0.09072313260053498,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SURA,De 40 a 44 años,41539,0.08488485911103755,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SURA,De 45 a 49 años,36636,0.0748655889258762,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SURA,De 50 a 54 años,31249,0.0638572657589449,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SURA,De 55 a 59 años,30236,0.06178720239007514,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SURA,De 60 a 64 años,29900,0.06110058709694558,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SURA,De 65 a 69 años,23086,0.04717619243210989,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SURA,De 70 a 74 años,16352,0.03341527759897171,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SURA,De 75 a 79 años,10627,0.02171625214311842,within_eps
VALLE DEL CAUCA,CONTRIBUTIVO,EPS SURA,De 80 años o más,11614,0.02373318456668649,within_eps
VALLE DEL CAUCA,SUBSIDIADO,EPS SURA,De 0 a 4 años,4504,0.050708728791614595,within_eps
