eps,account,year,value
CAPITAL SALUD.xlsx,Activos Totales,2021,517450.37
CAPITAL SALUD.xlsx,Activos Totales,2020,374506.76
CAPITAL SALUD.xlsx,Activos Totales,2019,395134.01
CAPITAL SALUD.xlsx,Activos no corrientes,2024,123144.28
CAPITAL SALUD.xlsx,Activos no corrientes,2023,103742.39
CAPITAL SALUD.xlsx,Activos no corrientes,2022,43952.79
CAPITAL SALUD.xlsx,Activos no corrientes,2021,69583.48
CAPITAL SALUD.xlsx,Activos no corrientes,2020,76420.29
CAPITAL SALUD.xlsx,Activos no corrientes,2019,1602.7
CAPITAL SALUD.xlsx,"Propiedad, planta y equipo",2024,1805.77
CAPITAL SALUD.xlsx,"Propiedad, planta y equipo",2023,1867.33
CAPITAL SALUD.xlsx,"Propiedad, planta y equipo",2022,1526.85
CAPITAL SALUD.xlsx,"Propiedad, planta y equipo",2021,1133.79
CAPITAL SALUD.xlsx,"Propiedad, planta y equipo",2020,1174.15
CAPITAL SALUD.xlsx,"Propiedad, planta y equipo",2019,1247.19
CAPITAL SALUD.xlsx,Comerciales y otras cuentas a cobrar no corrientes,2024,0.0
CAPITAL SALUD.xlsx,Comerciales y otras cuentas a cobrar no corrientes,2023,6427.65
CAPITAL SALUD.xlsx,Comerciales y otras cuentas a cobrar no corrientes,2022,28557.44
CAPITAL SALUD.xlsx,Comerciales y otras cuentas a cobrar no corrientes,2021,55830.14
CAPITAL SALUD.xlsx,Comerciales y otras cuentas a cobrar no corrientes,2020,60305.28
CAPITAL SALUD.xlsx,Comerciales y otras cuentas a cobrar no corrientes,2019,0.0
CAPITAL SALUD.xlsx,Otros activos no corrientes,2024,121338.51
CAPITAL SALUD.xlsx,Otros activos no corrientes,2023,95447.4
CAPITAL SALUD.xlsx,Otros activos no corrientes,2022,13868.5
CAPITAL SALUD.xlsx,Otros activos no corrientes,2021,12619.54
CAPITAL SALUD.xlsx,Otros activos no corrientes,2020,14940.86
CAPITAL SALUD.xlsx,Otros activos no corrientes,2019,355.52
CAPITAL SALUD.xlsx,Activos Corrientes,2024,354797.29
CAPITAL SALUD.xlsx,Activos Corrientes,2023,364630.64
CAPITAL SALUD.xlsx,Activos Corrientes,2022,376244.87
CAPITAL SALUD.xlsx,Activos Corrientes,2021,447866.89
CAPITAL SALUD.xlsx,Activos Corrientes,2020,298086.47
CAPITAL SALUD.xlsx,Activos Corrientes,2019,393531.31
CAPITAL SALUD.xlsx,Comerciales y otras cuentas a cobrar,2024,69559.98
CAPITAL SALUD.xlsx,Comerciales y otras cuentas a cobrar,2023,41648.14
CAPITAL SALUD.xlsx,Comerciales y otras cuentas a cobrar,2022,1046.53
CAPITAL SALUD.xlsx,Comerciales y otras cuentas a cobrar,2021,11036.75
CAPITAL SALUD.xlsx,Comerciales y otras cuentas a cobrar,2020,39306.15
CAPITAL SALUD.xlsx,Comerciales y otras cuentas a cobrar,2019,29245.3
CAPITAL SALUD.xlsx,Otros créditos corrientes,2024,69559.98
CAPITAL SALUD.xlsx,Otros créditos corrientes,2023,41648.14
CAPITAL SALUD.xlsx,Otros créditos corrientes,2022,1046.53
CAPITAL SALUD.xlsx,Otros créditos corrientes,2021,11036.75
CAPITAL SALUD.xlsx,Otros créditos corrientes,2020,39306.15
CAPITAL SALUD.xlsx,Otros créditos corrientes,2019,29245.3
CAPITAL SALUD.xlsx,Activos financieros de corto plazo,2024,0.0
CAPITAL SALUD.xlsx,Activos financieros de corto plazo,2023,156.0
CAPITAL SALUD.xlsx,Activos financieros de corto plazo,2022,156.0
CAPITAL SALUD.xlsx,Activos financieros de corto plazo,2021,156.0
CAPITAL SALUD.xlsx,Activos financieros de corto plazo,2020,156.8
CAPITAL SALUD.xlsx,Activos financieros de corto plazo,2019,156.8
CAPITAL SALUD.xlsx,Efectivo o Equivalentes,2024,251222.12
CAPITAL SALUD.xlsx,Efectivo o Equivalentes,2023,259723.73
CAPITAL SALUD.xlsx,Efectivo o Equivalentes,2022,317203.1
CAPITAL SALUD.xlsx,Efectivo o Equivalentes,2021,400178.77
CAPITAL SALUD.xlsx,Efectivo o Equivalentes,2020,233920.36
CAPITAL SALUD.xlsx,Efectivo o Equivalentes,2019,181710.68
CAPITAL SALUD.xlsx,Otros Activos Corrientes,2024,34015.19
CAPITAL SALUD.xlsx,Otros Activos Corrientes,2023,63102.76
CAPITAL SALUD.xlsx,Otros Activos Corrientes,2022,57839.24
CAPITAL SALUD.xlsx,Otros Activos Corrientes,2021,36495.37
CAPITAL SALUD.xlsx,Otros Activos Corrientes,2020,24703.16
CAPITAL SALUD.xlsx,Otros Activos Corrientes,2019,182418.52
CAPITAL SALUD.xlsx,Total de patrimonio y pasivos,2024,477941.58
CAPITAL SALUD.xlsx,Total de patrimonio y pasivos,2023,468373.02
CAPITAL SALUD.xlsx,Total de patrimonio y pasivos,2022,420197.66
CAPITAL SALUD.xlsx,Total de patrimonio y pasivos,2021,517450.37
CAPITAL SALUD.xlsx,Total de patrimonio y pasivos,2020,374506.76
CAPITAL SALUD.xlsx,Total de patrimonio y pasivos,2019,395134.01
CAPITAL SALUD.xlsx,Total de patrimonio,2024,109262.58
CAPITAL SALUD.xlsx,Total de patrimonio,2023,86475.02
CAPITAL SALUD.xlsx,Total de patrimonio,2022,26013.87
CAPITAL SALUD.xlsx,Total de patrimonio,2021,25369.92
CAPITAL SALUD.xlsx,Total de patrimonio,2020,-130532.23
CAPITAL SALUD.xlsx,Total de patrimonio,2019,-249426.32
CAPITAL SALUD.xlsx,Patrimonio neto atribuible a los propietarios de la controladora,2024,109262.58
CAPITAL SALUD.xlsx,Patrimonio neto atribuible a los propietarios de la controladora,2023,86475.02
CAPITAL SALUD.xlsx,Patrimonio neto atribuible a los propietarios de la controladora,2022,26013.87
CAPITAL SALUD.xlsx,Patrimonio neto atribuible a los propietarios de la controladora,2021,25369.92
CAPITAL SALUD.xlsx,Patrimonio neto atribuible a los propietarios de la controladora,2020,-130532.23
CAPITAL SALUD.xlsx,Patrimonio neto atribuible a los propietarios de la controladora,2019,-249426.32
CAPITAL SALUD.xlsx,Capital Suscrito,2024,664220.48
CAPITAL SALUD.xlsx,Capital Suscrito,2023,571945.48
CAPITAL SALUD.xlsx,Capital Suscrito,2022,511945.48
CAPITAL SALUD.xlsx,Capital Suscrito,2021,511945.48
CAPITAL SALUD.xlsx,Capital Suscrito,2020,344945.48
CAPITAL SALUD.xlsx,Capital Suscrito,2019,224945.48
CAPITAL SALUD.xlsx,Otras reservas,2024,57.08
CAPITAL SALUD.xlsx,Otras reservas,2023,57.08
CAPITAL SALUD.xlsx,Otras reservas,2022,57.08
CAPITAL SALUD.xlsx,Otras reservas,2021,57.08
CAPITAL SALUD.xlsx,Otras reservas,2020,57.08
CAPITAL SALUD.xlsx,Otras reservas,2019,57.08
CAPITAL SALUD.xlsx,Resultados acumulados,2024,-485527.53
CAPITAL SALUD.xlsx,Resultados acumulados,2023,-485988.69
CAPITAL SALUD.xlsx,Resultados acumulados,2022,-486632.64
CAPITAL SALUD.xlsx,Resultados acumulados,2021,-475535.59
CAPITAL SALUD.xlsx,Resultados acumulados,2020,-461374.35
CAPITAL SALUD.xlsx,Resultados acumulados,2019,-431711.45
CAPITAL SALUD.xlsx,Ganancia o Pérdida del Periodo,2024,-69487.44
CAPITAL SALUD.xlsx,Ganancia o Pérdida del Periodo,2023,461.15
CAPITAL SALUD.xlsx,Ganancia o Pérdida del Periodo,2022,643.95
CAPITAL SALUD.xlsx,Ganancia o Pérdida del Periodo,2021,-11097.05
CAPITAL SALUD.xlsx,Ganancia o Pérdida del Periodo,2020,-14160.44
CAPITAL SALUD.xlsx,Ganancia o Pérdida del Periodo,2019,-42717.43
CAPITAL SALUD.xlsx,Pasivos Totales,2024,368679.0
CAPITAL SALUD.xlsx,Pasivos Totales,2023,381898.0
CAPITAL SALUD.xlsx,Pasivos Totales,2022,394183.8
CAPITAL SALUD.xlsx,Pasivos Totales,2021,492080.45
CAPITAL SALUD.xlsx,Pasivos Totales,2020,505038.99
CAPITAL SALUD.xlsx,Pasivos Totales,2019,644560.33
CAPITAL SALUD.xlsx,Pasivos no corrientes,2024,16888.35
CAPITAL SALUD.xlsx,Pasivos no corrientes,2023,15990.33
CAPITAL SALUD.xlsx,Pasivos no corrientes,2022,11763.22
CAPITAL SALUD.xlsx,Pasivos no corrientes,2021,3682.98
CAPITAL SALUD.xlsx,Pasivos no corrientes,2020,465.38
CAPITAL SALUD.xlsx,Pasivos no corrientes,2019,0.0
CAPITAL SALUD.xlsx,Provisiones para otros pasivos y gastos,2024,16847.28
CAPITAL SALUD.xlsx,Provisiones para otros pasivos y gastos,2023,15898.89
CAPITAL SALUD.xlsx,Provisiones para otros pasivos y gastos,2022,11763.22
CAPITAL SALUD.xlsx,Provisiones para otros pasivos y gastos,2021,3682.98
CAPITAL SALUD.xlsx,Provisiones para otros pasivos y gastos,2020,465.38
CAPITAL SALUD.xlsx,Provisiones para otros pasivos y gastos,2019,0.0
CAPITAL SALUD.xlsx,Otros pasivos no corrientes,2024,41.07
CAPITAL SALUD.xlsx,Otros pasivos no corrientes,2023,91.45
CAPITAL SALUD.xlsx,Otros pasivos no corrientes,2022,0.0
CAPITAL SALUD.xlsx,Otros pasivos no corrientes,2021,0.0
CAPITAL SALUD.xlsx,Otros pasivos no corrientes,2020,0.0
CAPITAL SALUD.xlsx,Otros pasivos no corrientes,2019,0.0
CAPITAL SALUD.xlsx,Pasivos Corrientes,2024,351790.65
CAPITAL SALUD.xlsx,Pasivos Corrientes,2023,365907.67
CAPITAL SALUD.xlsx,Pasivos Corrientes,2022,382420.57
CAPITAL SALUD.xlsx,Pasivos Corrientes,2021,488397.47
CAPITAL SALUD.xlsx,Pasivos Corrientes,2020,504573.62
CAPITAL SALUD.xlsx,Pasivos Corrientes,2019,644560.33
CAPITAL SALUD.xlsx,Comerciales y otras cuentas a pagar,2024,191989.08
CAPITAL SALUD.xlsx,Comerciales y otras cuentas a pagar,2023,155824.74
CAPITAL SALUD.xlsx,Comerciales y otras cuentas a pagar,2022,189967.32
CAPITAL SALUD.xlsx,Comerciales y otras cuentas a pagar,2021,262645.27
CAPITAL SALUD.xlsx,Comerciales y otras cuentas a pagar,2020,269045.39
CAPITAL SALUD.xlsx,Comerciales y otras cuentas a pagar,2019,380561.5
CAPITAL SALUD.xlsx,Cuentas Comerciales por pagar,2024,186515.99
CAPITAL SALUD.xlsx,Cuentas Comerciales por pagar,2023,150985.09
CAPITAL SALUD.xlsx,Cuentas Comerciales por pagar,2022,186281.49
CAPITAL SALUD.xlsx,Cuentas Comerciales por pagar,2021,259710.89
CAPITAL SALUD.xlsx,Cuentas Comerciales por pagar,2020,267617.91
CAPITAL SALUD.xlsx,Cuentas Comerciales por pagar,2019,379663.61
CAPITAL SALUD.xlsx,Otras cuentas por pagar corrientes,2024,5473.09
CAPITAL SALUD.xlsx,Otras cuentas por pagar corrientes,2023,4839.64
CAPITAL SALUD.xlsx,Otras cuentas por pagar corrientes,2022,3685.83
CAPITAL SALUD.xlsx,Otras cuentas por pagar corrientes,2021,2934.37
CAPITAL SALUD.xlsx,Otras cuentas por pagar corrientes,2020,1427.48
CAPITAL SALUD.xlsx,Otras cuentas por pagar corrientes,2019,897.9
CAPITAL SALUD.xlsx,Provisiones para otros pasivos y gastos,2024,159777.0
CAPITAL SALUD.xlsx,Provisiones para otros pasivos y gastos,2023,210058.37
CAPITAL SALUD.xlsx,Provisiones para otros pasivos y gastos,2022,189055.32
CAPITAL SALUD.xlsx,Provisiones para otros pasivos y gastos,2021,223074.97
CAPITAL SALUD.xlsx,Provisiones para otros pasivos y gastos,2020,233783.29
CAPITAL SALUD.xlsx,Provisiones para otros pasivos y gastos,2019,260683.6
CAPITAL SALUD.xlsx,Otros pasivos corrientes,2024,24.56
CAPITAL SALUD.xlsx,Otros pasivos corrientes,2023,24.56
CAPITAL SALUD.xlsx,Otros pasivos corrientes,2022,3397.93
CAPITAL SALUD.xlsx,Otros pasivos corrientes,2021,2677.23
CAPITAL SALUD.xlsx,Otros pasivos corrientes,2020,1744.93
CAPITAL SALUD.xlsx,Otros pasivos corrientes,2019,3315.22
COOSALUD EPS.xlsx,Total Ingreso Operativo,2024,5353792.0
COOSALUD EPS.xlsx,Total Ingreso Operativo,2023,4794341.33
COOSALUD EPS.xlsx,Total Ingreso Operativo,2022,3983288.63
COOSALUD EPS.xlsx,Total Ingreso Operativo,2021,3314616.31
COOSALUD EPS.xlsx,Total Ingreso Operativo,2020,2632506.5
COOSALUD EPS.xlsx,Total Ingreso Operativo,2019,2119796.19
COOSALUD EPS.xlsx,Ingresos netos por ventas,2024,5353792.0
COOSALUD EPS.xlsx,Ingresos netos por ventas,2023,4794341.33
COOSALUD EPS.xlsx,Ingresos netos por ventas,2022,3983288.63
COOSALUD EPS.xlsx,Ingresos netos por ventas,2021,3314616.31
COOSALUD EPS.xlsx,Ingresos netos por ventas,2020,2632506.5
COOSALUD EPS.xlsx,Ingresos netos por ventas,2019,2119796.19
COOSALUD EPS.xlsx,Gastos administrativos,2024,-142246.13
COOSALUD EPS.xlsx,Gastos administrativos,2023,-70060.51
COOSALUD EPS.xlsx,Gastos administrativos,2022,-65182.06
COOSALUD EPS.xlsx,Gastos administrativos,2021,-46527.76
COOSALUD EPS.xlsx,Gastos administrativos,2020,-45540.99
COOSALUD EPS.xlsx,Gastos administrativos,2019,-28946.74
COOSALUD EPS.xlsx,Gastos por beneficios de los empleado,2024,-108835.69
COOSALUD EPS.xlsx,Gastos por beneficios de los empleado,2023,-97611.01
COOSALUD EPS.xlsx,Gastos por beneficios de los empleado,2022,-84331.92
COOSALUD EPS.xlsx,Gastos por beneficios de los empleado,2021,-69453.83
COOSALUD EPS.xlsx,Gastos por beneficios de los empleado,2020,-58136.74
COOSALUD EPS.xlsx,Gastos por beneficios de los empleado,2019,-50704.58
COOSALUD EPS.xlsx,Costos de transporte,2024,-3806.11
COOSALUD EPS.xlsx,Costos de transporte,2023,-3431.3
COOSALUD EPS.xlsx,Costos de transporte,2022,-3031.45
COOSALUD EPS.xlsx,Costos de transporte,2021,-1702.42
COOSALUD EPS.xlsx,Costos de transporte,2020,-1129.49
COOSALUD EPS.xlsx,Costos de transporte,2019,-4034.02
COOSALUD EPS.xlsx,Impuesto y contribuciones,2024,-1629.93
COOSALUD EPS.xlsx,Impuesto y contribuciones,2023,-1609.17
COOSALUD EPS.xlsx,Impuesto y contribuciones,2022,-2116.96
COOSALUD EPS.xlsx,Impuesto y contribuciones,2021,-1442.68
COOSALUD EPS.xlsx,Impuesto y contribuciones,2020,-1415.14
COOSALUD EPS.xlsx,Impuesto y contribuciones,2019,-1108.78
COOSALUD EPS.xlsx,Otros costos por naturaleza,2024,-6180380.46
COOSALUD EPS.xlsx,Otros costos por naturaleza,2023,-4637492.23
COOSALUD EPS.xlsx,Otros costos por naturaleza,2022,-3725958.79
COOSALUD EPS.xlsx,Otros costos por naturaleza,2021,-3042745.72
COOSALUD EPS.xlsx,Otros costos por naturaleza,2020,-2403070.01
COOSALUD EPS.xlsx,Otros costos por naturaleza,2019,-1991970.08
COOSALUD EPS.xlsx,"Gastos de depreciación, amortización y deterioro",2024,-50263.0
COOSALUD EPS.xlsx,"Gastos de depreciación, amortización y deterioro",2023,-11800.18
COOSALUD EPS.xlsx,"Gastos de depreciación, amortización y deterioro",2022,-26243.29
COOSALUD EPS.xlsx,"Gastos de depreciación, amortización y deterioro",2021,-19842.83
COOSALUD EPS.xlsx,"Gastos de depreciación, amortización y deterioro",2020,-9234.64
COOSALUD EPS.xlsx,"Gastos de depreciación, amortización y deterioro",2019,-7203.48
COOSALUD EPS.xlsx,Ganancia operativa (EBIT),2024,-1133369.32
COOSALUD EPS.xlsx,Ganancia operativa (EBIT),2023,-27663.07
COOSALUD EPS.xlsx,Ganancia operativa (EBIT),2022,76424.17
COOSALUD EPS.xlsx,Ganancia operativa (EBIT),2021,132901.06
COOSALUD EPS.xlsx,Ganancia operativa (EBIT),2020,113979.49
COOSALUD EPS.xlsx,Ganancia operativa (EBIT),2019,35828.51
COOSALUD EPS.xlsx,EBITDA,2024,-1083106.32
COOSALUD EPS.xlsx,EBITDA,2023,-15862.89
COOSALUD EPS.xlsx,EBITDA,2022,102667.46
COOSALUD EPS.xlsx,EBITDA,2021,152743.89
COOSALUD EPS.xlsx,EBITDA,2020,123214.13
COOSALUD EPS.xlsx,EBITDA,2019,43031.99
COOSALUD EPS.xlsx,Resultado financiero,2024,-26717.92
COOSALUD EPS.xlsx,Resultado financiero,2023,-33566.21
COOSALUD EPS.xlsx,Resultado financiero,2022,-24906.76
COOSALUD EPS.xlsx,Resultado financiero,2021,-17756.47
COOSALUD EPS.xlsx,Resultado financiero,2020,-16545.66
COOSALUD EPS.xlsx,Resultado financiero,2019,-17487.18
COOSALUD EPS.xlsx,Gastos financieros,2024,-26717.92
COOSALUD EPS.xlsx,Gastos financieros,2023,-33566.21
COOSALUD EPS.xlsx,Gastos financieros,2022,-24906.76
COOSALUD EPS.xlsx,Gastos financieros,2021,-17756.47
COOSALUD EPS.xlsx,Gastos financieros,2020,-16545.66
COOSALUD EPS.xlsx,Gastos financieros,2019,-17487.18
COOSALUD EPS.xlsx,Gastos por intereses,2024,-26717.92
COOSALUD EPS.xlsx,Gastos por intereses,2023,-33566.21
COOSALUD EPS.xlsx,Gastos por intereses,2022,-24906.76
COOSALUD EPS.xlsx,Gastos por intereses,2021,-17756.47
COOSALUD EPS.xlsx,Gastos por intereses,2020,-16545.66
COOSALUD EPS.xlsx,Gastos por intereses,2019,-17487.18
COOSALUD EPS.xlsx,Otros resultados no operativos netos,2024,17397.12
COOSALUD EPS.xlsx,Otros resultados no operativos netos,2023,32995.29
COOSALUD EPS.xlsx,Otros resultados no operativos netos,2022,82580.93
COOSALUD EPS.xlsx,Otros resultados no operativos netos,2021,-4152.02
COOSALUD EPS.xlsx,Otros resultados no operativos netos,2020,-376.29
COOSALUD EPS.xlsx,Otros resultados no operativos netos,2019,714.83
COOSALUD EPS.xlsx,Otros ingresos,2024,27118.36
COOSALUD EPS.xlsx,Otros ingresos,2023,47146.03
COOSALUD EPS.xlsx,Otros ingresos,2022,96000.69
